MULTI-SKILL TECHNICIAN (ELECTRICAL),RIC
MULTI-SKILL TECHNICIAN (FOOD PROCESSING),RIC
OIL TECHNOLOGIST,RIC
OPERATOR-BORING MACHINE,RIC
PACKAGE DYEING MACHINE OPERATOR,RIC
PERFUSION TECHNOLOGIST,RIC
PHLEBOTOMIST/PHLEOBOTOMY TECHNICIAN,RIC
PLUMBER,RIC
REFRIGERATION TECHNICIAN,RIC
RUBBER TECHNOLOGIST,RIC
SEED TECHNOLOGIST,RIC
SEWING MACHINE OPERATOR,RIC
SMARTPHONE REPAIR TECHNICIAN,RIC
SOFTWARE APPLICATION PACKAGER,RIC
SOLAR AND LED TECHNICIAN,RIC
STONECUTTER (CUTTING MACHINE OPERATOR) – STONE CRAFT,RIC
SUGAR TECHNOLOGIST,RIC
TECHNICIAN DENTAL,RIC
TOWER TECHNICIAN,RIC
WASTE COLLECTOR,RIC
WOOD POLISHER,RIC
AUTOMOBILE ENGINEER,RIE
CAD DESIGNER FOR CARPETS,RIE
MECHANICAL ENGINEER,RIS
BULLDOZER OPERATOR,RRC
ACCENT TRAINER,SAC
ATHLETE DEVELOPMENT SPECIALIST,SAC
GENERAL HOUSEKEEPER,SAC
HOUSEKEEPING ATTENDANT (MANUAL CLEANING),SAC
KITCHEN STEWARD,SAC
PHYSICAL FITNESS TRAINER,SAC
RECEPTIONIST,SAC
ROOM ATTENDANT,SAC
SPORTS COACH,SAC
TRAINER,SAC
AIR HOSTESS/PURSER,SAE
AIRLINE CUSTOMER SERVICE EXECUTIVE,SAE
FOOD AND BEVERAGE SERVICE-STEWARD,SAE
SHOWROOM HOSTESS/HOST,SAE
SOCIAL WORKER,SAE
TOUR GUIDE,SAE
ASSISTANT PROFESSOR,SAI
ASSISTANT TEACHER,SAI
CURRICULUM DEVELOPER,SAI
FOREIGN LANGUAGE TEACHER,SAI
LECTURER (COLLEGE AND UNIVERSITY),SAI
NATURE GUIDE,SAI
PHYSICAL EDUCATOR,SAI
PRE-SCHOOL EDUCATOR,SAI
SCHOOL TEACHER,SAI
YOGA INSTRUCTOR,SAI
ANIMAL HEALTH WORKER,SIA
AQUACULTURE WORKER,SIA
AUXILIARY NURSE MIDWIFERY (ANM),SIA
CAREER COUNSELLOR,SIA
CAREGIVER FOR PERSONS WITH DISABILITIES (NON-CLINICAL),SIA
CHILD CARETAKER (NON-CLINICAL),SIA
CHILD DEVELOPMENT SPECIALIST,SIA
CLINICAL PSYCHOLOGIST,SIA
DIETICIAN,SIA
ELDERLY CARETAKER (NON-CLINICAL),SIA
FARMER: BACKYARD POULTRY/SMALL POULTRY,SIA
